,12CO(K km/s),21cm(K),outflow_number,class0_protostar_number,class1_protostar_number
17,0.014060933142900467,22.02129554748535,23.0,15.0,15.0
16,0.004517870023846626,20.138046264648438,11.0,17.0,17.0
22,,18.562294006347656,9.0,21.0,21.0
11,0.0035853637382388115,17.866044998168945,7.0,23.0,23.0
2,0.004330887924879789,13.521546363830566,5.0,4.0,4.0
13,0.002823015907779336,16.384384155273438,5.0,2.0,2.0
21,,11.314711570739746,3.0,8.0,8.0
6,0.0025839023292064667,18.133758544921875,2.0,18.0,18.0
5,,27.607017517089844,1.0,20.0,20.0
1,0.0012848584447056055,19.703229904174805,1.0,9.0,9.0
14,0.001092921826057136,9.465563774108887,1.0,0.0,0.0
0,,22.48417091369629,0.0,8.0,8.0
23,,10.484275817871094,0.0,0.0,0.0
20,,10.34103012084961,0.0,3.0,3.0
19,0.00094579067081213,8.976957321166992,0.0,0.0,0.0
18,0.0031675517093390226,11.77336597442627,0.0,1.0,1.0
12,0.0006859324057586491,13.837614059448242,0.0,5.0,5.0
15,,14.268059730529785,0.0,15.0,15.0
10,,19.423505783081055,0.0,32.0,32.0
9,3.355789158376865e-05,8.353326797485352,0.0,0.0,0.0
8,0.0006593582220375538,12.306536674499512,0.0,1.0,1.0
7,0.0012038230197504163,14.457625389099121,0.0,1.0,1.0
4,,10.33198356628418,0.0,0.0,0.0
3,0.000971625151578337,10.094860076904297,0.0,0.0,0.0
24,,9.567967414855957,0.0,0.0,0.0
