,outflow_number,class0_protostar_number,class1_protostar_number,12co(k km/s),21cm (k)
0,0.0,2.0,31.0,,18.298694610595703
1,0.0,6.0,13.0,0.0,23.062265396118164
2,1.0,2.0,24.0,85543.734375,14.927851676940918
3,5.0,2.0,8.0,824003.625,12.604801177978516
4,0.0,0.0,0.0,53102.16796875,10.279691696166992
5,0.0,0.0,0.0,0.0,9.581038475036621
6,0.0,0.0,0.0,0.0,10.988778114318848
7,0.0,6.0,41.0,,22.61241912841797
8,0.0,4.0,18.0,133593.625,29.544397354125977
9,2.0,4.0,28.0,440769.625,19.64862632751465
10,0.0,2.0,34.0,318102.8125,15.061070442199707
11,0.0,0.0,1.0,113206.8671875,12.336997032165527
12,0.0,0.0,0.0,0.0,9.857983589172363
13,0.0,0.0,0.0,0.0,8.814948081970215
14,1.0,18.0,109.0,,24.166828155517578
15,1.0,14.0,93.0,505890.5,23.003414154052734
16,0.0,5.0,48.0,206812.625,15.655736923217773
17,0.0,0.0,5.0,178734.625,13.182065963745117
18,0.0,1.0,0.0,63774.890625,12.46931266784668
19,0.0,0.0,0.0,86375.6328125,11.318258285522461
20,0.0,0.0,0.0,8936.8818359375,8.055683135986328
21,0.0,14.0,77.0,,19.03155517578125
22,1.0,19.0,128.0,700010.25,17.214017868041992
23,5.0,9.0,57.0,321618.34375,18.295207977294922
24,0.0,3.0,18.0,82763.015625,13.78249740600586
25,2.0,2.0,13.0,427234.8125,14.314290046691895
26,3.0,0.0,0.0,219251.453125,16.66831398010254
27,1.0,0.0,0.0,237589.421875,8.57534122467041
28,0.0,16.0,70.0,,17.082019805908203
29,1.0,6.0,29.0,164760.53125,17.74830436706543
30,5.0,10.0,93.0,939516.4375,21.594070434570312
31,9.0,5.0,88.0,1455488.0,21.756324768066406
32,1.0,1.0,16.0,768510.875,13.415506362915039
33,0.0,0.0,0.0,223913.078125,12.478484153747559
34,0.0,0.0,0.0,7139.25927734375,8.778969764709473
35,0.0,1.0,27.0,,13.02277946472168
36,0.0,0.0,4.0,440715.15625,12.007514953613281
37,10.0,17.0,74.0,1418015.875,18.824352264404297
38,17.0,16.0,202.0,2826862.25,25.36442756652832
39,0.0,2.0,12.0,270003.1875,11.571167945861816
40,0.0,0.0,0.0,0.0,9.384367942810059
41,0.0,0.0,0.0,0.0,9.004439353942871
42,0.0,3.0,13.0,,10.061875343322754
43,0.0,0.0,9.0,,10.170767784118652
44,0.0,2.0,10.0,,11.715875625610352
45,1.0,7.0,62.0,,15.822168350219727
46,2.0,4.0,22.0,,11.893795013427734
47,0.0,0.0,0.0,,9.89344596862793
48,0.0,0.0,0.0,0.0,9.45814323425293
