,ID,RAJ2000,DecJ2000,Distance,Vc,Mass,Momentum,Energy,Dynamical Time,Cloud_Mass,Cloud_Energy,Energy_(of/cloud+of)
0,0,304.495,41.938,1.5,-2.6,0.13,0.41,0.14,11.7,206.007,32.998,0.004224757
1,0,304.506,41.926,1.5,-3.9,5.06,10.06,2.33,21.6,409.183,50.672,0.043924528
2,0,304.602,42.033,1.5,-3.9,1.29,2.96,0.77,18.9,175.675,16.922,0.043684657
84,0,305.121,41.414,1.3,10.4,0.42,0.8,0.16,20.3,22.047,1.424,0.103274559
4,0,305.131,42.434,1.5,-1.8,0.23,0.6,0.18,31.5,18.9,1.986,0.083525611
5,0,305.133,41.396,0.65,7.5,0,0,0,,1.338,0.09,0
85,0,305.158,42.04,1.5,-3.8,0.83,1.39,0.26,21,96.99,4.677,0.051703163
7,0,305.614,41.602,0.65,5.9,0.03,0.04,0.01,1.2,5.287,0.237,0.028688525
8,0,305.842,41.295,1.5,-2.5,2.07,7.77,3.12,18.9,320.885,48.671,0.060242127
9,0,305.942,41.29,1.5,-1.4,12.9,27.76,6.87,53.2,643.666,45.967,0.130055451
10,G79.886+2.552,306.127,42.072,0.65,6.6,0.38,1.98,1.51,9,9.153315003,5.683432132,0.209911233
11,G80.158+2.727,306.144,42.394,0.65,6,0.23,0.9,0.51,5.1,27.05993922,4.306699985,0.105707939
12,G80.149+2.710,306.154,42.376,0.65,6,0.19,0.63,0.23,5.7,43.68086588,3.538274236,0.060740034
13,G79.962+2.556,306.196,42.137,0.65,5.5,0.01,0.1,0.1,2.5,3.616023058,1.515168009,0.060182772
14,0,306.817,39.479,1.5,-0.6,0.12,0.33,0.12,4.4,203.253,13.688,0.008834178
15,0,307.051,40.51,0.65,5.1,0,0.01,0,13.6,0.849,0.738,0.006729475
16,0,307.237,40.553,0.65,7,0.14,0.34,0.11,11.6,30.47,1.96,0.051765844
17,0,307.256,40.537,1.3,8.2,7.71,13.97,3,46.1,246.25,16.906,0.150537634
18,0,307.263,40.565,0.65,7.7,0.13,0.19,0.03,13.6,22.074,1.162,0.027615063
19,0,307.34,40.653,0.65,6.2,0.23,0.36,0.07,2.1,17.016,0.478,0.130909091
20,0,307.36,40.602,0.65,7,0.2,0.48,0.15,13.6,22.571,2.422,0.056853583
21,0,307.408,40.666,1.3,9.6,0.2,0.52,0.15,10.2,22.073,5.412,0.026968716
22,0,307.615,41.269,1.5,-5,2.19,12.55,7.85,9.4,755.124,125.173,0.059026499
23,0,307.714,41.041,1.5,-3.2,0.16,0.99,0.7,3.9,14.363,12.285,0.053543914
24,G81.435+2.147,307.801,43.096,1.5,-2.4,2.6,11.18,5.58,15.1,267.7223016,33.48509182,0.142861558
25,G81.424+2.140,307.803,43.085,1.5,-1.7,0.31,1.4,0.7,11.1,250.5504137,33.72328672,0.020339802
26,0,307.899,45.098,1.5,-1.5,2.08,8.29,3.8,14,460.228,35.4,0.096892699
27,0,307.899,41.07,1.5,-3,0.32,0.88,0.31,11.1,11.694,2.538,0.107594937
86,0,308.058,43.697,1.5,-1.1,0.94,1.85,0.4,42,57.414,5.288,0.070160014
29,0,308.08,41.133,1.5,-13.8,5.14,11.59,3.8,14.4,295.493,26.598,0.124950651
30,0,308.091,41.116,1.5,-13.6,0.98,2.26,0.84,6.4,135.23,11.204,0.069821503
31,0,308.099,43.683,0.65,1.2,0.72,1.44,0.36,13.6,22.804,2.029,0.152464495
32,0,308.128,43.959,1.5,-6.1,0.59,1.73,0.53,13.3,91.077,7.481,0.066042447
33,0,308.227,43.725,1.5,-2.4,0,0,0,7,10.889,1.21,0
34,0,308.63,41.276,1.5,-5,0.1,0.23,0.06,14.8,11.95,1.054,0.053009883
35,0,308.655,40.862,0.65,6,0,0.01,0,9.1,0.588,0.08,0.012345679
36,0,308.682,40.886,0.65,4.9,0,0,0,6.4,2.862,0.174,0
37,0,308.731,40.683,1.3,8.2,0.07,0.17,0.05,20.6,5.995,1.494,0.03238342
