,Unnamed: 0_x,ID_x,RAJ2000,DecJ2000,Distance,Vc,Mass,Momentum,Energy,Dynamical Time,Cloud_Mass,Cloud_Energy,Energy_(of/cloud+of),Unnamed: 0_y,ID_y,RA_proto,Dec_proto,Dist_proto,logL_proto,alpha_proto
0,0,0,304.495,41.938,1.5,-2.6,0.13,0.41,0.14,11.7,206.007,32.998000000000005,0.004224757,0,b'0',304.503,41.92100000000001,68.0,1.1,0.4
1,1,0,304.506,41.926,1.5,-3.9,5.06,10.06,2.33,21.6,409.18300000000005,50.672,0.043924528,1,b'0',304.508,41.92100000000001,19.0,1.5,0.5
2,84,0,305.121,41.414,1.3,10.4,0.42,0.8,0.16,20.3,22.046999999999997,1.4240000000000002,0.103274559,2,b'0',305.133,41.398,72.0,0.8,1.4
3,5,0,305.133,41.396,0.65,7.5,0.0,0.0,0.0,,1.338,0.09,0.0,3,b'0',305.133,41.398,7.0,0.8,1.4
4,9,0,305.942,41.29,1.5,-1.4,12.9,27.76,6.87,53.2,643.6659999999999,45.967,0.130055451,4,b'0',305.939,41.29600000000001,24.0,0.5,1.1
5,10,G79.886+2.552,306.127,42.072,0.65,6.6,0.38,1.98,1.51,9.0,9.153315003,5.683432132,0.209911233,5,b'G79.886+2.552',306.127,42.068999999999996,11.0,1.9,0.2
6,11,G80.158+2.727,306.144,42.394,0.65,6.0,0.23,0.9,0.51,5.1,27.05993922,4.306699985,0.105707939,6,b'G80.158+2.727',306.142,42.391999999999996,10.0,1.2,0.8
7,12,G80.149+2.710,306.154,42.376,0.65,6.0,0.19,0.63,0.23,5.7,43.68086588,3.5382742360000004,0.060740034000000005,7,b'G80.149+2.710',306.14099999999996,42.388000000000005,64.0,1.2,2.0
8,15,0,307.051,40.51,0.65,5.1,0.0,0.01,0.0,13.6,0.8490000000000001,0.738,0.006729475,8,b'0',307.055,40.507,18.0,0.3,-0.0
9,16,0,307.237,40.553,0.65,7.0,0.14,0.34,0.11,11.6,30.47,1.96,0.051765844000000005,9,b'0',307.246,40.543,48.0,0.8,1.0
10,17,0,307.256,40.537,1.3,8.2,7.71,13.97,3.0,46.1,246.25,16.906,0.150537634,10,b'0',307.246,40.543,42.0,0.8,1.0
11,18,0,307.263,40.565,0.65,7.7,0.13,0.19,0.03,13.6,22.074,1.162,0.027615063,11,b'0',307.255,40.55,61.0,0.1,0.7
12,19,0,307.34,40.653,0.65,6.2,0.23,0.36,0.07,2.1,17.016,0.478,0.130909091,12,b'0',307.346,40.632,79.0,0.3,1.9
13,20,0,307.36,40.602,0.65,7.0,0.2,0.48,0.15,13.6,22.570999999999998,2.4219999999999997,0.056853583,13,b'0',307.358,40.601,8.0,0.3,1.9
14,21,0,307.408,40.666,1.3,9.6,0.2,0.52,0.15,10.2,22.073,5.412000000000001,0.026968716,14,b'0',307.401,40.685,73.0,0.8,0.3
15,22,0,307.615,41.269,1.5,-5.0,2.19,12.55,7.85,9.4,755.1239999999999,125.17299999999999,0.059026499,15,b'0',307.622,41.266000000000005,27.0,1.9,0.8
16,23,0,307.714,41.041,1.5,-3.2,0.16,0.99,0.7,3.9,14.363,12.285,0.053543914000000005,16,b'0',307.711,41.041000000000004,11.0,2.4,1.9
17,24,G81.435+2.147,307.801,43.096,1.5,-2.4,2.6,11.18,5.58,15.1,267.7223016,33.48509182,0.142861558,17,b'G81.435+2.147',307.79900000000004,43.097,8.0,0.8,1.8
18,25,G81.424+2.140,307.803,43.085,1.5,-1.7,0.31,1.4,0.7,11.1,250.5504137,33.72328672,0.020339802,18,b'G81.424+2.140',307.803,43.083,7.0,0.5,0.9
