,ID,RAJ2000,DecJ2000,Mass,Momentum,Energy,Dynamical Time,logL_proto,alpha_proto
0,0,304.495,41.938,0.13,0.41,0.14,11.7,1.1,0.4
1,0,304.506,41.926,5.06,10.06,2.33,21.6,1.5,0.5
2,0,305.121,41.413999999999994,0.42,0.8,0.16,20.3,0.8,1.4
3,0,305.133,41.396,0.0,0.0,0.0,,0.8,1.4
4,0,305.942,41.29,12.9,27.76,6.87,53.2,0.5,1.1
5,G79.886+2.552,306.127,42.071999999999996,0.38,1.98,1.51,9.0,1.9,0.2
6,G80.158+2.727,306.144,42.394,0.23,0.9,0.51,5.1,1.2,0.8
7,G80.149+2.710,306.154,42.376000000000005,0.19,0.63,0.23,5.7,1.2,2.0
8,0,307.051,40.51,0.0,0.01,0.0,13.6,0.3,-0.0
9,0,307.237,40.553000000000004,0.14,0.34,0.11,11.6,0.8,1.0
10,0,307.256,40.537,7.71,13.97,3.0,46.1,0.8,1.0
11,0,307.263,40.565,0.13,0.19,0.03,13.6,0.1,0.7
12,0,307.34,40.653,0.23,0.36,0.07,2.1,0.3,1.9
13,0,307.36,40.602,0.2,0.48,0.15,13.6,0.3,1.9
14,0,307.408,40.666,0.2,0.52,0.15,10.2,0.8,0.3
15,0,307.615,41.269,2.19,12.55,7.85,9.4,1.9,0.8
16,0,307.714,41.041000000000004,0.16,0.99,0.7,3.9,2.4,1.9
17,G81.435+2.147,307.801,43.096000000000004,2.6,11.18,5.58,15.1,0.8,1.8
18,G81.424+2.140,307.803,43.085,0.31,1.4,0.7,11.1,0.5,0.9
19,0,307.899,41.07,0.32,0.88,0.31,11.1,0.7,0.6
20,0,308.08,41.133,5.14,11.59,3.8,14.4,2.4,1.7
21,0,308.091,41.11600000000001,0.98,2.26,0.84,6.4,0.1,1.2
22,0,308.63,41.276,0.1,0.23,0.06,14.8,1.7,1.1
23,0,308.655,40.861999999999995,0.0,0.01,0.0,9.1,1.3,1.4
24,0,308.682,40.885999999999996,0.0,0.0,0.0,6.4,2.3,0.1
25,G81.302+1.055,308.89099999999996,42.341,7.66,33.79,17.59,7.3,1.7,1.3
26,G81.218+0.877,309.009,42.167,0.44,1.67,0.74,4.8,-0.6,0.3
27,G80.832+0.570,309.034,41.67100000000001,2.45,5.72,1.55,9.1,0.9,0.8
28,G81.140+0.687,309.155,41.988,0.21,0.92,0.5,5.7,-0.4,1.4
29,G81.829+1.195,309.158,42.846000000000004,0.19,0.44,0.1,12.8,2.0,1.2
30,G81.539+0.983,309.161,42.483999999999995,0.28,1.47,0.85,4.8,1.2,1.7
31,G81.365+0.781,309.232,42.22,0.79,3.29,1.86,7.6,-0.1,0.2
32,G81.340+0.755,309.244,42.192,0.14,1.23,1.2,3.2,1.8,1.6
33,G80.862+0.385,309.254,41.58,6.07,28.01,14.87,11.7,1.7,1.3
34,G81.462+0.736,309.348,42.27,0.0,0.0,0.0,14.6,0.2,0.7
35,G80.916+0.331,309.356,41.593999999999994,0.72,2.42,1.01,15.6,1.7,0.1
36,G81.437+0.728,309.357,42.251999999999995,1.44,4.37,1.54,7.4,0.2,0.7
37,G81.460+0.735,309.363,42.272,16.79,94.83,58.32,13.1,0.2,0.8
38,NA (name 8.a),309.378,42.232,8.94,36.78,15.76,15.1,2.0,1.2
39,NA (name 8.b),309.39,42.226000000000006,26.4,97.41,37.96,16.1,2.1,1.7
40,G81.794+0.910,309.445,42.64,1.7,5.49,2.1,26.2,2.1,1.5
41,G81.861+0.959,309.45,42.726000000000006,0.24,0.74,0.26,11.8,-0.2,0.3
42,G81.813+0.919,309.45099999999996,42.662,0.11,0.63,0.4,6.6,-0.4,0.3
43,G81.857+0.905,309.5,42.691,0.35,1.76,1.03,8.3,0.9,1.7
44,G81.831+0.880,309.51,42.652,1.29,5.46,2.47,10.5,1.5,1.0
45,G81.634+0.726,309.512,42.407,0.37,1.18,0.43,4.0,0.8,0.2
46,G81.867+0.780,309.637,42.645,14.34,50.18,19.73,23.0,0.6,0.9
47,G81.773+0.687,309.67400000000004,42.483999999999995,0.78,1.83,0.47,25.2,0.1,1.2
48,G81.681+0.540,309.72,42.316,11.92,145.99,193.03,4.1,2.1,1.6
49,,309.752,42.32,33.57,341.27,382.34,3.6,2.1,1.6
50,G81.663+0.468,309.82,42.278,1.71,8.62,4.65,1.6,2.4,-0.1
51,0,309.856,41.328,11.94,27.88,6.83,19.8,1.7,0.8
52,0,309.873,41.368,0.98,2.65,1.04,21.6,0.5,0.3
53,0,309.88,41.364,5.5,10.69,2.51,31.5,0.5,0.3
54,0,309.882,41.336999999999996,2.0,7.43,2.84,5.2,1.6,0.9
55,0,309.89799999999997,41.328,2.87,8.15,2.57,15.7,1.3,0.2
56,G81.117-0.140,310.017,41.465,2.17,6.74,2.72,22.1,2.0,0.3
57,G81.175-0.100,310.022,41.538000000000004,0.72,2.59,1.08,10.7,1.5,2.3
58,G81.551+0.098,310.118,41.952,4.29,17.36,7.89,8.7,2.0,1.6
59,G81.450+0.016,310.127,41.821999999999996,2.93,8.41,2.64,9.4,0.5,1.8
60,G81.476+0.020,310.138,41.852,2.55,6.9,2.19,18.8,0.1,0.5
61,G81.582+0.104,310.14,41.983000000000004,2.35,14.22,9.75,9.4,1.0,1.9
62,G81.317-0.103,310.142,41.65,0.29,1.13,0.51,12.6,0.7,2.1
63,G81.632+0.102,310.185,42.025,1.85,3.95,0.95,20.4,0.5,0.1
64,new?,310.639,42.463,0.03,0.24,0.25,2.4,1.8,2.1
65,G82.581+0.203,310.867,42.833,2.43,15.6,12.5,4.5,2.3,0.8
66,G82.571+0.194,310.868,42.816,0.14,0.45,0.16,9.6,2.3,0.8
67,0,304.60200000000003,42.033,1.29,2.96,0.77,18.9,0.86275440163103,
68,0,305.131,42.434,0.23,0.6,0.18,31.5,0.6927095063767628,
69,0,305.158,42.04,0.83,1.39,0.26,21.0,0.6268590067819875,
70,0,305.61400000000003,41.602,0.03,0.04,0.01,1.2,0.8425867735760731,
71,0,305.842,41.295,2.07,7.77,3.12,18.9,1.1607920372191514,
72,G79.962+2.556,306.19599999999997,42.137,0.01,0.1,0.1,2.5,1.553035317137982,
73,0,306.817,39.479,0.12,0.33,0.12,4.4,1.0443340773307226,
74,0,307.899,45.098,2.08,8.29,3.8,14.0,1.2665138926275021,
75,0,308.058,43.696999999999996,0.94,1.85,0.4,42.0,0.601815424927097,
76,0,308.099,43.683,0.72,1.44,0.36,13.6,0.8185722412238103,
77,0,308.128,43.958999999999996,0.59,1.73,0.53,13.3,0.9659697294317496,
78,0,308.731,40.683,0.07,0.17,0.05,20.6,0.6340506860258808,
79,G80.815+0.661,308.918,41.708999999999996,0.15,0.39,0.14,30.0,0.7111477819623708,
80,G81.770+0.851,309.486,42.597,0.52,1.3,0.41,27.3,0.7933665937530363,
81,G81.559+0.183,310.04400000000004,42.016000000000005,0.29,0.87,0.32,14.3,0.9458883408270455,
82,G82.189-0.042,310.813,42.373999999999995,0.18,0.55,0.24,8.5,1.0455732278040215,
